"Var1" "Var2" "value" "gender"
"278" 38 4 60.0347204376903 "m"
"279" 39 4 66.3898093410475 "m"
"280" 40 4 69.8532211522864 "m"
"281" 41 4 76.6298496601316 "m"
"282" 42 4 75.4543178332228 "m"
"283" 43 4 82.5268441440472 "m"
"284" 44 4 88.3062344662065 "m"
"285" 45 4 93.1830779911682 "m"
"286" 46 4 101.172839119282 "m"
"287" 47 4 109.533186261103 "m"
"288" 48 4 117.873490863443 "m"
"289" 49 4 129.469283244084 "m"
"290" 50 4 142.50914838272 "m"
"291" 51 4 176.463990616599 "m"
"292" 52 4 179.164625107764 "m"
"293" 53 4 165.598267968749 "m"
"294" 54 4 177.051359407987 "m"
"295" 55 4 189.01178660207 "m"
"296" 56 4 185.395752751931 "m"
"297" 57 4 178.192910582655 "m"
"298" 58 4 186.392017536364 "m"
"299" 59 4 206.484208731668 "m"
"300" 60 4 212.666862236723 "m"
"301" 61 4 222.030602273302 "m"
"302" 62 4 221.697997632504 "m"
"303" 63 4 220.836543671408 "m"
"304" 64 4 223.470507478937 "m"
"305" 65 4 210.603916150221 "m"
"306" 66 4 206.298065485884 "m"
"307" 67 4 196.048023561039 "m"
"308" 68 4 173.416031331766 "m"
"309" 69 4 153.292512034121 "m"
"310" 70 4 137.204675826795 "m"
"311" 71 4 110.851472171997 "m"
"312" 72 4 94.155704163804 "m"
"313" 73 4 71.4609753879328 "m"
"314" 74 4 55.2918943326223 "m"
"315" 75 4 37.8094855768979 "m"
"316" 76 4 27.6179251631758 "m"
"317" 77 4 16.7997642236151 "m"
"318" 78 4 10.6075901761682 "m"
"319" 79 4 4.63241485411274 "m"
"320" 80 4 2.42155330064669 "m"
"321" 1 5 2.05669509934378 "m"
"322" 2 5 2.31853705537288 "m"
"323" 3 5 2.57028233695911 "m"
"324" 4 5 2.88067590279027 "m"
"325" 5 5 3.21551020741833 "m"
"326" 6 5 3.57813299454688 "m"
"327" 7 5 4.03982435734484 "m"
"328" 8 5 4.46319029118873 "m"
"329" 9 5 4.81226337152041 "m"
"330" 10 5 5.24696115669236 "m"
"331" 11 5 5.67542447757697 "m"
"332" 12 5 6.180974748509 "m"
"333" 13 5 6.85068863789045 "m"
"334" 14 5 7.40710461761591 "m"
"335" 15 5 8.02612075471384 "m"
"336" 16 5 8.81326821083822 "m"
"337" 17 5 9.71834863881904 "m"
"338" 18 5 10.724040245939 "m"
"339" 19 5 11.5569044225881 "m"
"340" 20 5 12.0369222150658 "m"
"341" 21 5 12.6618452395224 "m"
"342" 22 5 13.8910910797933 "m"
"343" 23 5 15.5056565653005 "m"
"344" 24 5 17.3184035927389 "m"
"345" 25 5 19.6247661558109 "m"
"346" 26 5 22.4862463507395 "m"
"347" 27 5 25.515877833937 "m"
"348" 28 5 28.0416505569881 "m"
"349" 29 5 30.783585981429 "m"
"350" 30 5 34.1950682185596 "m"
"351" 31 5 37.8667971845215 "m"
"352" 32 5 41.7504449396201 "m"
"353" 33 5 45.8223875355185 "m"
"354" 34 5 50.2250702088095 "m"
"355" 35 5 54.2553983529234 "m"
"356" 36 5 58.2663489181637 "m"
"357" 37 5 62.1088598040513 "m"
"358" 38 5 68.321201172087 "m"
"359" 39 5 71.111630865003 "m"
"360" 40 5 78.5202825886332 "m"
"361" 41 5 77.9002340626131 "m"
"362" 42 5 85.2032580269828 "m"
"363" 43 5 89.5445926664002 "m"
"364" 44 5 93.0480000846209 "m"
"365" 45 5 102.786520669953 "m"
"366" 46 5 110.098940705677 "m"
"367" 47 5 115.49370989933 "m"
"368" 48 5 125.333879940211 "m"
"369" 49 5 135.615715074775 "m"
"370" 50 5 163.325316535556 "m"
"371" 51 5 192.435612312046 "m"
"372" 52 5 191.242910109444 "m"
"373" 53 5 178.043389205421 "m"
"374" 54 5 193.72146529152 "m"
"375" 55 5 200.907554841011 "m"
"376" 56 5 196.132254108037 "m"
"377" 57 5 189.834323693273 "m"
"378" 58 5 199.75006972528 "m"
"379" 59 5 212.10240732103 "m"
"380" 60 5 226.588650849717 "m"
"381" 61 5 228.609752385405 "m"
"382" 62 5 226.534046381418 "m"
"383" 63 5 232.111529016878 "m"
"384" 64 5 218.804495392179 "m"
"385" 65 5 208.50653932754 "m"
"386" 66 5 198.141202991579 "m"
"387" 67 5 178.021801674043 "m"
"388" 68 5 159.843504832271 "m"
"389" 69 5 138.24783914924 "m"
"390" 70 5 116.485115011399 "m"
"391" 71 5 94.2049807654811 "m"
"392" 72 5 74.6486968548939 "m"
"393" 73 5 57.3036764360733 "m"
"394" 74 5 38.92550685709 "m"
"395" 75 5 28.0806234994394 "m"
"396" 76 5 16.373222779986 "m"
"397" 77 5 9.81921019223965 "m"
"398" 78 5 6.19997734411765 "m"
"399" 79 5 2.70757699600609 "m"
"400" 80 5 1.41536158092848 "m"
"401" 1 6 2.25913408273152 "m"
"402" 2 6 2.54668575672682 "m"
"403" 3 6 2.82312631043475 "m"
"404" 4 6 3.1639591526508 "m"
"405" 5 6 3.53160454382975 "m"
"406" 6 6 3.92973212937724 "m"
"407" 7 6 4.43661451836251 "m"
"408" 8 6 4.90134932208056 "m"
"409" 9 6 5.28443800764805 "m"
"410" 10 6 5.76148424286671 "m"
"411" 11 6 6.23160227581117 "m"
"412" 12 6 6.78626340336686 "m"
"413" 13 6 7.52103496074348 "m"
"414" 14 6 8.13127205848483 "m"
"415" 15 6 8.8100635680481 "m"
"416" 16 6 9.67319753413582 "m"
"417" 17 6 10.6655014949658 "m"
"418" 18 6 11.7678900838177 "m"
"419" 19 6 12.6802625193206 "m"
"420" 20 6 13.2051533654205 "m"
"421" 21 6 13.8886637242803 "m"
"422" 22 6 15.2345245882422 "m"
"423" 23 6 17.0021866761032 "m"
"424" 24 6 18.9861470605343 "m"
"425" 25 6 21.5099483173148 "m"
"426" 26 6 24.6404378364465 "m"
"427" 27 6 27.9529928662514 "m"
"428" 28 6 30.7111771412687 "m"
"429" 29 6 33.7034857144845 "m"
"430" 30 6 37.4255510627056 "m"
"431" 31 6 41.4283340143651 "m"
"432" 32 6 45.6580887792665 "m"
"433" 33 6 50.0880332138247 "m"
"434" 34 6 54.8727314830518 "m"
"435" 35 6 59.2429775065688 "m"
"436" 36 6 63.5836665753995 "m"
"437" 37 6 70.6816301351097 "m"
"438" 38 6 73.180388469638 "m"
"439" 39 6 79.9348299011955 "m"
"440" 40 6 79.8220069521998 "m"
"441" 41 6 87.9651944885349 "m"
"442" 42 6 92.4485979441962 "m"
"443" 43 6 94.352854205204 "m"
"444" 44 6 102.637521642097 "m"
"445" 45 6 111.854991350413 "m"
"446" 46 6 116.090251294009 "m"
"447" 47 6 122.803479088796 "m"
"448" 48 6 131.283987408376 "m"
"449" 49 6 155.424966348821 "m"
"450" 50 6 178.107766824026 "m"
"451" 51 6 205.408553642286 "m"
"452" 52 6 205.615289912445 "m"
"453" 53 6 194.806898730802 "m"
"454" 54 6 205.913644919279 "m"
"455" 55 6 212.54236417717 "m"
"456" 56 6 208.94565160473 "m"
"457" 57 6 203.439073707032 "m"
"458" 58 6 205.185040112841 "m"
"459" 59 6 225.987245080773 "m"
