"Var1" "Var2" "value" "gender"
"238" 78 3 26.5233354417193 "m"
"239" 79 3 9.23816480120066 "m"
"240" 80 3 4.31475054867473 "m"
"241" 1 4 1.07849442394111 "m"
"242" 2 4 1.20879517257833 "m"
"243" 3 4 1.32402402611096 "m"
"244" 4 4 1.41567405203223 "m"
"245" 5 4 1.57105677396365 "m"
"246" 6 4 1.8302183261913 "m"
"247" 7 4 2.07447463294108 "m"
"248" 8 4 2.3514519502304 "m"
"249" 9 4 2.63490767882405 "m"
"250" 10 4 2.99748486493294 "m"
"251" 11 4 3.35671041562961 "m"
"252" 12 4 3.81831691949748 "m"
"253" 13 4 4.2717547452479 "m"
"254" 14 4 4.75394583279393 "m"
"255" 15 4 5.26065694179832 "m"
"256" 16 4 6.28589036384189 "m"
"257" 17 4 7.1302107076277 "m"
"258" 18 4 8.08737223035025 "m"
"259" 19 4 8.56945187839635 "m"
"260" 20 4 9.42776963959754 "m"
"261" 21 4 10.68351940778 "m"
"262" 22 4 11.6315516569835 "m"
"263" 23 4 13.396591055976 "m"
"264" 24 4 15.7779633312518 "m"
"265" 25 4 18.5915783196755 "m"
"266" 26 4 21.3039755145097 "m"
"267" 27 4 23.7920103813453 "m"
"268" 28 4 25.9382178124785 "m"
"269" 29 4 28.5792906588181 "m"
"270" 30 4 31.4150782157422 "m"
"271" 31 4 35.0178263530221 "m"
"272" 32 4 39.8944416470678 "m"
"273" 33 4 44.5852449134134 "m"
"274" 34 4 50.1228849574903 "m"
"275" 35 4 55.1356202402328 "m"
"276" 36 4 59.3132486503748 "m"
"277" 37 4 66.3687100343496 "m"
"278" 38 4 73.3079179450298 "m"
"279" 39 4 82.3270284250367 "m"
"280" 40 4 87.4963420963346 "m"
"281" 41 4 92.6482033591392 "m"
"282" 42 4 96.4412824099045 "m"
"283" 43 4 97.525133651471 "m"
"284" 44 4 104.66733048089 "m"
"285" 45 4 107.14151489802 "m"
"286" 46 4 120.659144560874 "m"
"287" 47 4 122.095770895288 "m"
"288" 48 4 129.894930910774 "m"
"289" 49 4 139.553655163358 "m"
"290" 50 4 148.237140997699 "m"
"291" 51 4 158.519203542351 "m"
"292" 52 4 156.92029902373 "m"
"293" 53 4 125.318462955802 "m"
"294" 54 4 130.98524024026 "m"
"295" 55 4 140.9107564339 "m"
"296" 56 4 139.878234959344 "m"
"297" 57 4 136.873313075896 "m"
"298" 58 4 147.94434906288 "m"
"299" 59 4 171.148604563591 "m"
"300" 60 4 176.562545123905 "m"
"301" 61 4 192.497608208491 "m"
"302" 62 4 200.652129154416 "m"
"303" 63 4 208.148254139883 "m"
"304" 64 4 220.094975218505 "m"
"305" 65 4 216.229583968054 "m"
"306" 66 4 228.17608436293 "m"
"307" 67 4 218.900088361683 "m"
"308" 68 4 206.824002006667 "m"
"309" 69 4 178.245292020872 "m"
"310" 70 4 160.519142334099 "m"
"311" 71 4 134.822581696714 "m"
"312" 72 4 111.663957767554 "m"
"313" 73 4 90.8939089756809 "m"
"314" 74 4 68.9714439436104 "m"
"315" 75 4 51.1211885886988 "m"
"316" 76 4 34.7601762718714 "m"
"317" 77 4 26.6245687905581 "m"
"318" 78 4 14.7664691571456 "m"
